Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
300	-15803.76	-15812.27	8.510349	0.113156	0.088085	0.0905159	0.102505	0.11911	0.079005	0.119315	0.0803754	0.10536	0.159142	0.105292	0.103992	0.10971	0.10192	0.12542	0.126265	0.114817	0.11561	0.122603	0.092521	0.0931088	0.0839269	0.16552	0.0124449	0.0238219	0.0152508	0.0267307	0.037666	0.0520794	0.0356622	0.0337016	0.0282404	0.0504018	0.0567004	0.0759176	0.0286249	0.0307691	0.0345806	0.0385062	0.0578117	0.0304971	0.0382521	0.0415796	3.266516
310	-15807.14	-15816.38	9.240681	0.127057	0.0952247	0.106145	0.102596	0.105706	0.0897023	0.15136	0.071032	0.10602	0.167615	0.0743964	0.0843592	0.10094	0.110532	0.0974441	0.133788	0.126438	0.0982874	0.136866	0.0696752	0.127097	0.0824192	0.162307	0.00628058	0.0250726	0.0114531	0.0285143	0.0319671	0.0571285	0.0283635	0.0352512	0.0129406	0.0543006	0.0515779	0.0713286	0.0308445	0.0265258	0.0326932	0.0247368	0.0434646	0.0338857	0.024754	0.0353922	3.193483
320	-15805.64	-15814.41	8.767318	0.109993	0.118288	0.105022	0.0979252	0.101049	0.0723679	0.118234	0.0658382	0.0980108	0.163909	0.0881231	0.0818734	0.106022	0.097587	0.12878	0.133888	0.138861	0.116609	0.147491	0.0927552	0.100057	0.0776993	0.167756	0.0141348	0.0299409	0.0116797	0.0306119	0.0303829	0.0481681	0.0337253	0.0219527	0.0172489	0.0446705	0.0486246	0.095011	0.0302414	0.0406417	0.0391942	0.0310302	0.0547653	0.0217229	0.0257473	0.0431838	3.240819
330	-15806.18	-15815.17	8.981911	0.124217	0.0981569	0.0933842	0.121316	0.123129	0.0752896	0.127404	0.0909101	0.104126	0.155165	0.0935161	0.0711938	0.0822121	0.100996	0.112227	0.125676	0.140699	0.103039	0.116901	0.0705853	0.0921247	0.110683	0.167756	0.0193319	0.019495	0.0196962	0.0351694	0.0323224	0.0369255	0.0361123	0.0360308	0.0122889	0.0468093	0.0631643	0.0581061	0.0225098	0.0317467	0.041595	0.0428027	0.0410103	0.0294684	0.0429344	0.0511341	3.21936
340	-15809.94	-15819.25	9.303745	0.126153	0.102954	0.102365	0.0781915	0.0956428	0.071645	0.115882	0.068611	0.103116	0.197499	0.0821514	0.0782985	0.102965	0.0957639	0.120927	0.125676	0.11919	0.119846	0.110634	0.0915618	0.0626931	0.0927263	0.148891	0.0286862	0.0337971	0.00671261	0.0337739	0.0277177	0.0535775	0.0251773	0.0539763	0.0241667	0.04755	0.051154	0.0849837	0.0215297	0.0385526	0.0394388	0.0365466	0.0542149	0.0235284	0.0455474	0.0431627	3.187176
350	-15805.23	-15814.41	9.181101	0.123369	0.103068	0.101436	0.119754	0.121895	0.0798093	0.119714	0.0844953	0.0943816	0.171865	0.0743785	0.0886482	0.085001	0.0807909	0.118141	0.135328	0.127719	0.118558	0.110311	0.0624932	0.0851286	0.0700777	0.162154	0.0329975	0.030122	0.0176094	0.0338934	0.037015	0.0756906	0.0251313	0.0258012	0.0271023	0.0682755	0.0497611	0.0709453	0.0313502	0.0282512	0.0310002	0.0358952	0.0390966	0.038578	0.0318253	0.0305848	3.199441
360	-15819.9	-15828.21	8.318553	0.135454	0.0904273	0.0914974	0.105122	0.115045	0.0669765	0.129761	0.0828885	0.104221	0.171865	0.106502	0.0901539	0.0774061	0.119741	0.0795385	0.147664	0.128838	0.127106	0.113298	0.0824087	0.12409	0.0887171	0.19033	0.0435037	0.0347287	0.0141009	0.0329368	0.032336	0.0452764	0.0318279	0.0204039	0.00825372	0.0550473	0.051127	0.082533	0.0335141	0.02579	0.0480301	0.0112119	0.0289601	0.039417	0.0285644	0.0490837	3.285695
370	-15811.35	-15820.63	9.275664	0.114167	0.125415	0.104439	0.102755	0.117322	0.0795992	0.117602	0.0862287	0.0965296	0.18682	0.0725177	0.0901539	0.110262	0.090933	0.110093	0.107789	0.138135	0.127258	0.131107	0.0547662	0.0826547	0.057834	0.175583	0.0374777	0.0425298	0.0217214	0.0285576	0.0351115	0.0570063	0.0234747	0.0354444	0.0110774	0.0426141	0.0395098	0.0719112	0.0147052	0.0323916	0.0351725	0.0229449	0.0440417	0.0250961	0.0511296	0.0381024	3.189984
380	-15812.08	-15821.3	9.218212	0.111811	0.109836	0.109186	0.0865771	0.126388	0.0640681	0.12332	0.0792396	0.0860421	0.159348	0.0747816	0.0864863	0.117347	0.0885871	0.099321	0.135303	0.122569	0.0974454	0.120567	0.0644251	0.0943003	0.0759146	0.194595	0.0354756	0.0352393	0.0248826	0.0151628	0.0342931	0.0569364	0.0401024	0.0423779	0.0252846	0.0578984	0.0446583	0.086809	0.0154914	0.0252037	0.0452826	0.0466902	0.0458378	0.0213948	0.0282872	0.0409637	3.19573
390	-15808.28	-15817.28	8.994502	0.138632	0.0895641	0.103523	0.109792	0.10691	0.0814319	0.121007	0.0725527	0.101821	0.190969	0.0878908	0.0905037	0.106135	0.0885871	0.0970936	0.132053	0.112812	0.121216	0.116755	0.0745048	0.0980302	0.102675	0.182427	0.0219452	0.0256039	0.0227144	0.0101052	0.0226589	0.0450335	0.0491693	0.0424866	0.014135	0.0522046	0.0392743	0.0704531	0.0181807	0.0388208	0.0314607	0.0274429	0.0288634	0.0375929	0.0396497	0.0534183	3.218101
400	-15801.54	-15810.25	8.70969	0.138772	0.0849885	0.110569	0.10955	0.118795	0.0801884	0.131934	0.0719429	0.114088	0.171729	0.0762569	0.0847908	0.105365	0.113681	0.116056	0.128696	0.122112	0.0960572	0.139037	0.0745048	0.0851628	0.0941528	0.148635	0.0365601	0.0187226	0.013235	0.022817	0.0229107	0.0570649	0.030298	0.0382928	0.0201773	0.0448708	0.0587328	0.0757388	0.025302	0.028702	0.0271642	0.0396351	0.0480128	0.0384977	0.0319873	0.0507951	3.246582
410	-15806.41	-15815.43	9.020782	0.126127	0.142192	0.110754	0.0968827	0.126326	0.0663552	0.131934	0.0658098	0.0963856	0.188855	0.0861518	0.0826618	0.108114	0.093209	0.115619	0.120635	0.122112	0.111587	0.118442	0.0862432	0.0808761	0.0852922	0.174158	0.0300033	0.0200934	0.0160465	0.0174338	0.0233129	0.0703367	0.0267963	0.04153	0.028361	0.039197	0.037075	0.0640205	0.0196893	0.0316711	0.0338209	0.0197033	0.0423667	0.0370802	0.0405767	0.039635	3.215473
420	-15810.73	-15820.46	9.73324	0.133989	0.0899042	0.0866569	0.0916944	0.114429	0.07198	0.122731	0.0858887	0.0906674	0.169436	0.0546505	0.0894057	0.0910318	0.0885361	0.109958	0.145862	0.127377	0.0946481	0.136805	0.0627214	0.105669	0.0926728	0.164042	0.0252803	0.0270723	0.0143448	0.0447148	0.0268867	0.0619418	0.0173776	0.0348493	0.0240767	0.0440072	0.0591984	0.0923899	0.029832	0.0325505	0.0358288	0.0190461	0.030303	0.0339816	0.0335481	0.0362414	3.144227
430	-15813.03	-15821.56	8.528963	0.132986	0.076687	0.106572	0.0981113	0.0998982	0.0875107	0.14478	0.0710543	0.094988	0.204789	0.0704844	0.0914702	0.0873211	0.0934715	0.118301	0.128635	0.130449	0.119014	0.125546	0.0901298	0.080489	0.105344	0.201646	0.0354184	0.0232983	0.0164838	0.0222081	0.0449893	0.056009	0.0207488	0.0478267	0.017109	0.0421561	0.0329791	0.0793606	0.0451415	0.0274514	0.0312831	0.0275776	0.0461466	0.0247168	0.0292379	0.0348338	3.264654
440	-15808.17	-15817.63	9.46572	0.131203	0.116924	0.106572	0.0900502	0.100504	0.0923364	0.109071	0.0709737	0.078188	0.148625	0.0963661	0.072268	0.10354	0.101964	0.118301	0.128635	0.12172	0.115922	0.11063	0.0744423	0.0900064	0.0766766	0.184484	0.0312763	0.0235564	0.0145787	0.0306277	0.0204864	0.0497198	0.0130311	0.0354397	0.0191738	0.0543589	0.0435416	0.0885864	0.0216494	0.0342411	0.0521703	0.039776	0.0516588	0.0373935	0.036346	0.0339651	3.170979
450	-15806.73	-15816.16	9.428882	0.13152	0.108053	0.0882377	0.101509	0.10613	0.0827879	0.125286	0.0691056	0.105738	0.144974	0.0830055	0.0812859	0.115393	0.100408	0.0963485	0.141984	0.112185	0.112589	0.115068	0.0906957	0.0877905	0.0784153	0.161189	0.0269561	0.0378002	0.0257125	0.0243686	0.0304097	0.0508866	0.0134757	0.0343251	0.0248265	0.0511496	0.0528789	0.0865934	0.0291873	0.0247467	0.0510956	0.0334368	0.0396377	0.0357605	0.0358249	0.0258909	3.174663
460	-15804.94	-15813.68	8.741521	0.137464	0.113002	0.109089	0.109063	0.108682	0.0952413	0.133831	0.0797396	0.106076	0.157023	0.0909122	0.0872915	0.117081	0.0981875	0.101289	0.114024	0.102225	0.123374	0.105699	0.0810783	0.0871633	0.0800069	0.167838	0.0226898	0.0269394	0.01547	0.0317359	0.0275991	0.0510491	0.0336958	0.0443486	0.0246099	0.052907	0.0359546	0.0737513	0.0249779	0.0395653	0.0632915	0.0356096	0.0493384	0.0293993	0.0228993	0.032186	3.243399
